noc_title,noc_2021,aioe,caioe,groupmean,Exposure,Comp,Quadrant
Program officers unique to government,41407,6.592338725,5.471641142,0.518333333,High exposure,Low complementarity,HE-LC
Other professional occupations in social science,41409,6.563945292,4.706995033,0.631888889,High exposure,High complementarity,HE-HC
Police officers (except commissioned),42100,5.760064855,3.490125382,0.742083333,Low exposure,High complementarity,LE-HC
Firefighters,42101,5.676381746,3.434848883,0.743944444,Low exposure,High complementarity,LE-HC
Paralegals and related occupations,42200,6.648947041,5.385584862,0.538055556,High exposure,Low complementarity,HE-LC
Social and community service workers,42201,6.3485823,4.279757509,0.674222222,High exposure,High complementarity,HE-HC
Early childhood educators and assistants,42202,6.048389039,4.455646592,0.611666667,High exposure,Low complementarity,HE-LC
Instructors of persons with disabilities,42203,6.254146039,3.933006025,0.720888889,High exposure,High complementarity,HE-HC
Other instructors,43109,6.422526961,4.723674415,0.613333333,High exposure,High complementarity,HE-HC
Sheriffs and bailiffs,43200,5.732806708,3.944183221,0.660555556,Low exposure,High complementarity,LE-HC
Correctional service officers,43201,5.618266032,3.753313835,0.680277778,Low exposure,High complementarity,LE-HC
By-law enforcement and other regulatory officers,43202,5.969503326,4.459371236,0.601180556,Low exposure,Low complementarity,LE-LC
"Border services, customs, and immigration officers",43203,5.989408952,4.08777161,0.665833333,High exposure,High complementarity,HE-HC
Home child care providers,44100,5.888368052,4.332676649,0.612638889,Low exposure,Low complementarity,LE-LC
"Home support workers, caregivers and related occupations",44101,5.77655005,4.600380276,0.551944444,Low exposure,Low complementarity,LE-LC
"Student monitors, crossing guards and related occupations",45100,5.812465396,4.240122141,0.61875,Low exposure,High complementarity,LE-HC
"Library, archive, museum and art gallery managers",50010,6.471193881,4.415844889,0.667407407,High exposure,High complementarity,HE-HC
"Managers - publishing, motion pictures, broadcasting and performing arts",50011,6.484575341,4.607653991,0.638564815,High exposure,High complementarity,HE-HC
"Recreation, sports and fitness program and service directors",50012,6.25036284,4.515055792,0.625231481,High exposure,High complementarity,HE-HC
Librarians,51100,6.365586874,4.517798462,0.638611111,High exposure,High complementarity,HE-HC
Conservators and curators,51101,6.1800504,4.231895951,0.662777778,High exposure,High complementarity,HE-HC
Archivists,51102,6.339542645,4.781071745,0.594166667,High exposure,Low complementarity,HE-LC
Editors,51110,6.543130636,4.811018554,0.613055556,High exposure,High complementarity,HE-HC
Authors and writers (except technical),51111,6.489752863,5.157400654,0.552962963,High exposure,Low complementarity,HE-LC
Technical writers,51112,6.568273856,5.371388398,0.530555556,High exposure,Low complementarity,HE-LC
Journalists,51113,6.56755127,4.653839802,0.639722222,High exposure,High complementarity,HE-HC
"Translators, terminologists and interpreters",51114,6.523049621,4.692971811,0.628888889,High exposure,High complementarity,HE-HC
"Producers, directors, choreographers and related occupations",51120,6.292552339,4.420683731,0.647708333,High exposure,High complementarity,HE-HC
"Conductors, composers and arrangers",51121,6.251375838,4.642916923,0.606805556,High exposure,Low complementarity,HE-LC
Musicians and singers,51122,6.019128556,5.020956403,0.514166667,High exposure,Low complementarity,HE-LC
Library and public archive technicians,52100,6.051692512,4.888422729,0.540555556,High exposure,Low complementarity,HE-LC
Film and video camera operators,52110,5.83309117,4.322968678,0.607222222,Low exposure,Low complementarity,LE-LC
Graphic arts technicians,52111,6.158020763,5.242810261,0.493472222,High exposure,Low complementarity,HE-LC
Broadcast technicians,52112,6.089672685,4.673823785,0.580833333,High exposure,Low complementarity,HE-LC
Audio and video recording technicians,52113,6.113513922,4.586557856,0.598194444,High exposure,Low complementarity,HE-LC
Announcers and other broadcasters,52114,6.417429825,4.643723526,0.624722222,High exposure,High complementarity,HE-HC
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",52119,5.828815853,4.362759016,0.599861111,Low exposure,Low complementarity,LE-LC
Graphic designers and illustrators,52120,6.362911254,4.828119961,0.589583333,High exposure,Low complementarity,HE-LC
Interior designers and interior decorators,52121,6.540182749,4.536343423,0.654722222,High exposure,High complementarity,HE-HC
"Registrars, restorers, interpreters and other occupations related to museum and art galleries",53100,5.993465673,4.265349737,0.636666667,High exposure,High complementarity,HE-HC
Photographers,53110,5.946157338,4.365470512,0.614166667,Low exposure,High complementarity,LE-HC
"Motion pictures, broadcasting, photography and performing arts assistants and operators",53111,5.761055988,4.44213515,0.579513889,Low exposure,Low complementarity,LE-LC
Dancers,53120,4.83117283,3.705241162,0.581388889,Low exposure,Low complementarity,LE-LC
"Actors, comedians and circus performers",53121,5.790803512,4.843188694,0.507638889,Low exposure,Low complementarity,LE-LC
"Painters, sculptors and other visual artists",53122,5.778077737,5.14730425,0.4575,Low exposure,Low complementarity,LE-LC
"Theatre, fashion, exhibit and other creative designers",53123,6.260278956,4.715432817,0.595416667,High exposure,Low complementarity,HE-LC
Artisans and craftspersons,53124,5.833884266,4.663184931,0.548277778,Low exposure,Low complementarity,LE-LC
"Patternmakers - textile, leather and fur products",53125,5.997116868,4.742719923,0.5575,High exposure,Low complementarity,HE-LC
Athletes,53200,5.216758485,3.735778715,0.632222222,Low exposure,High complementarity,LE-HC
Coaches,53201,6.08725821,3.858645343,0.714444444,High exposure,High complementarity,HE-HC
Sports officials and referees,53202,6.011560786,4.815928141,0.547222222,High exposure,Low complementarity,HE-LC
"Program leaders and instructors in recreation, sport and fitness",54100,5.630436232,3.929604644,0.649166667,Low exposure,High complementarity,LE-HC
Other performers,55109,5.475314746,5.038810487,0.428055556,Low exposure,Low complementarity,LE-LC
Corporate sales managers,60010,6.594914041,4.587706633,0.652777778,High exposure,High complementarity,HE-HC
Retail and wholesale trade managers,60020,6.48623218,4.198936529,0.70162037,High exposure,High complementarity,HE-HC
Restaurant and food service managers,60030,5.97989782,4.257355031,0.636388889,High exposure,High complementarity,HE-HC
Accommodation service managers,60031,6.215860454,4.021316388,0.701388889,High exposure,High complementarity,HE-HC
Managers in customer and personal services,60040,6.181318069,4.285723426,0.655810185,High exposure,High complementarity,HE-HC
Retail sales supervisors,62010,6.187927951,4.670095986,0.593796296,High exposure,Low complementarity,HE-LC
Food service supervisors,62020,5.918487711,4.044299936,0.665,Low exposure,High complementarity,LE-HC
Executive housekeepers,62021,5.795825081,4.214852795,0.621111111,Low exposure,High complementarity,LE-HC
"Accommodation, travel, tourism and related services supervisors",62022,6.248049388,4.304211801,0.659444444,High exposure,High complementarity,HE-HC
Customer and information services supervisors,62023,6.140052496,4.122363023,0.676944444,High exposure,High complementarity,HE-HC
Cleaning supervisors,62024,5.795825081,4.214852795,0.621111111,Low exposure,High complementarity,LE-HC
Other services supervisors,62029,6.140052496,4.122363023,0.676944444,High exposure,High complementarity,HE-HC
Technical sales specialists - wholesale trade,62100,6.397342455,4.53417549,0.639722222,High exposure,High complementarity,HE-HC
Retail and wholesale buyers,62101,6.403669143,4.701360429,0.614166667,High exposure,High complementarity,HE-HC
Chefs,62200,5.901226374,3.875138652,0.691666667,Low exposure,High complementarity,LE-HC
Funeral directors and embalmers,62201,5.827027349,3.557627037,0.738055556,Low exposure,High complementarity,LE-HC
"Jewellers, jewellery and watch repairers and related occupations",62202,5.955022783,4.955738295,0.516222222,Low exposure,Low complementarity,LE-LC
Insurance agents and brokers,63100,6.639157942,5.008875825,0.593888889,High exposure,Low complementarity,HE-LC
Real estate agents and salespersons,63101,6.424457341,4.500689282,0.647777778,High exposure,High complementarity,HE-HC
Financial sales representatives,63102,6.675194987,5.179761238,0.572407407,High exposure,Low complementarity,HE-LC
Cooks,63200,5.724964128,4.64109973,0.537555556,Low exposure,Low complementarity,LE-LC
Butchers - retail and wholesale,63201,5.596899916,4.406003989,0.561111111,Low exposure,Low complementarity,LE-LC
Bakers,63202,5.860904262,4.827105871,0.524722222,Low exposure,Low complementarity,LE-LC
Hairstylists and barbers,63210,5.716365973,4.257661786,0.603472222,Low exposure,Low complementarity,LE-LC
"Estheticians, electrologists and related occupations",63211,5.933080109,4.652735137,0.562916667,Low exposure,Low complementarity,LE-LC
Shoe repairers and shoemakers,63220,5.640286769,4.864747338,0.485833333,Low exposure,Low complementarity,LE-LC
Upholsterers,63221,5.442407124,4.678958346,0.488611111,Low exposure,Low complementarity,LE-LC
Retail salespersons and visual merchandisers,64100,6.049522856,4.700877995,0.570888889,High exposure,Low complementarity,HE-LC
Sales and account representatives - wholesale trade (non-technical),64101,6.310203142,4.557368936,0.626111111,High exposure,High complementarity,HE-HC
"Tailors, dressmakers, furriers and milliners",64200,5.789534627,4.750634802,0.527777778,Low exposure,Low complementarity,LE-LC
"Image, social and other personal consultants",64201,5.883265754,4.391481569,0.598472222,Low exposure,Low complementarity,LE-LC
Mątres d'h̫tel and hosts/hostesses,64300,6.009090285,4.802264653,0.549166667,High exposure,Low complementarity,HE-LC
Bartenders,64301,5.756919704,5.018115009,0.476666667,Low exposure,Low complementarity,LE-LC
Travel counsellors,64310,6.545554444,5.46735617,0.513055556,High exposure,Low complementarity,HE-LC
Pursers and flight attendants,64311,5.621125335,3.599079925,0.706944444,Low exposure,High complementarity,LE-HC
Airline ticket and service agents,64312,6.137041535,4.872129085,0.554444444,High exposure,Low complementarity,HE-LC
"Ground and water transport ticket agents, cargo service representatives and related clerks",64313,6.238565866,4.872596428,0.567083333,High exposure,Low complementarity,HE-LC
Hotel front desk clerks,64314,6.363532867,4.785935454,0.595972222,High exposure,Low complementarity,HE-LC
Tour and travel guides,64320,6.368551781,4.534055059,0.636388889,High exposure,High complementarity,HE-HC
Casino workers,64321,6.063761885,4.994633252,0.524722222,High exposure,Low complementarity,HE-LC
Outdoor sport and recreational guides,64322,5.924543618,3.974381343,0.6775,Low exposure,High complementarity,LE-HC
Customer services representatives - financial institutions,64400,6.510472632,5.879318479,0.445277778,High exposure,Low complementarity,HE-LC
Postal services representatives,64401,5.87573802,4.946907117,0.506111111,Low exposure,Low complementarity,LE-LC
Other customer and information services representatives,64409,6.608430958,5.197621068,0.561458333,High exposure,Low complementarity,HE-LC
Security guards and related security service occupations,64410,5.844485653,4.275042406,0.617222222,Low exposure,High complementarity,LE-HC
Cashiers,65100,5.922752488,5.216957816,0.4675,Low exposure,Low complementarity,LE-LC
Service station attendants,65101,5.723107993,3.793148797,0.685555556,Low exposure,High complementarity,LE-HC
"Store shelf stockers, clerks and order fillers",65102,5.490511607,4.525096649,0.524166667,Low exposure,Low complementarity,LE-LC
Other sales related occupations,65109,6.415723604,5.074735259,0.55781746,High exposure,Low complementarity,HE-LC
Food and beverage servers,65200,5.438765246,4.587396642,0.503402778,Low exposure,Low complementarity,LE-LC
"Food counter attendants, kitchen helpers and related support occupations",65201,5.689286435,4.894307881,0.488611111,Low exposure,Low complementarity,LE-LC
Meat cutters and fishmongers - retail and wholesale,65202,5.596899916,4.406003989,0.561111111,Low exposure,Low complementarity,LE-LC
"Support occupations in accommodation, travel and facilities set-up services",65210,5.663328573,4.430730938,0.568194444,Low exposure,Low complementarity,LE-LC
"Operators and attendants in amusement, recreation and sport",65211,5.969471199,4.256183929,0.634444444,Low exposure,High complementarity,LE-HC
Pet groomers and animal care workers,65220,5.627589122,3.939411363,0.648333333,Low exposure,High complementarity,LE-HC
Other support occupations in personal services,65229,6.140052496,4.122363023,0.676944444,High exposure,High complementarity,HE-HC
Light duty cleaners,65310,5.561989149,4.79268586,0.484027778,Low exposure,Low complementarity,LE-LC
Specialized cleaners,65311,5.272076627,4.116613166,0.5675,Low exposure,Low complementarity,LE-LC
"Janitors, caretakers and heavy-duty cleaners",65312,5.388025524,4.055985881,0.595555556,Low exposure,Low complementarity,LE-LC
"Dry cleaning, laundry and related occupations",65320,5.559304158,5.058966784,0.438333333,Low exposure,Low complementarity,LE-LC
Other service support occupations,65329,5.900750888,4.456034281,0.592118056,Low exposure,Low complementarity,LE-LC
Construction managers,70010,6.502255361,3.785757566,0.766111111,High exposure,High complementarity,HE-HC
Home building and renovation managers,70011,6.502255361,3.785757566,0.766111111,High exposure,High complementarity,HE-HC
Facility operation and maintenance managers,70012,6.499978183,4.520672611,0.652962963,High exposure,High complementarity,HE-HC
Managers in transportation,70020,6.533072448,4.536163667,0.654666667,High exposure,High complementarity,HE-HC
Postal and courier services managers,70021,6.405720161,4.38258021,0.664166667,High exposure,High complementarity,HE-HC
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",72010,5.887740735,3.321667065,0.784166667,Low exposure,High complementarity,LE-HC
"Contractors and supervisors, electrical trades and telecommunications occupations",72011,5.887740735,3.321667065,0.784166667,Low exposure,High complementarity,LE-HC
"Contractors and supervisors, pipefitting trades",72012,5.887740735,3.321667065,0.784166667,Low exposure,High complementarity,LE-HC
"Contractors and supervisors, carpentry trades",72013,5.887740735,3.321667065,0.784166667,Low exposure,High complementarity,LE-HC
"Contractors and supervisors, other construction trades, installers, repairers and servicers",72014,5.877118694,3.502261648,0.752361111,Low exposure,High complementarity,LE-HC
"Contractors and supervisors, mechanic trades",72020,5.844234115,3.775641815,0.701296296,Low exposure,High complementarity,LE-HC
"Contractors and supervisors, heavy equipment operator crews",72021,5.887740735,3.321667065,0.784166667,Low exposure,High complementarity,LE-HC
"Supervisors, printing and related occupations",72022,5.979663209,3.848577682,0.704722222,High exposure,High complementarity,HE-HC
"Supervisors, railway transport operations",72023,5.902033983,3.965257342,0.676111111,Low exposure,High complementarity,LE-HC
"Supervisors, motor transport and other ground transit operators",72024,5.870666067,4.221754325,0.627777778,Low exposure,High complementarity,LE-HC
"Supervisors, mail and message distribution occupations",72025,6.405720161,4.38258021,0.664166667,High exposure,High complementarity,HE-HC
Machinists and machining and tooling inspectors,72100,5.644522322,4.501506551,0.550833333,Low exposure,Low complementarity,LE-LC
Tool and die makers,72101,5.750972951,4.319619684,0.597222222,Low exposure,Low complementarity,LE-LC
Sheet metal workers,72102,5.526754439,4.363065588,0.558888889,Low exposure,Low complementarity,LE-LC
Boilermakers,72103,5.539861668,3.796344093,0.663055556,Low exposure,High complementarity,LE-HC
Structural metal and platework fabricators and fitters,72104,5.549428946,3.718117394,0.678333333,Low exposure,High complementarity,LE-HC
Ironworkers,72105,5.189174373,3.537117405,0.666527778,Low exposure,High complementarity,LE-HC
Welders and related machine operators,72106,5.566512468,4.718187291,0.500763889,Low exposure,Low complementarity,LE-LC
Electricians (except industrial and power system),72200,5.664204633,3.527540775,0.725555556,Low exposure,High complementarity,LE-HC
Industrial electricians,72201,5.659602973,3.628349986,0.707222222,Low exposure,High complementarity,LE-HC
Power system electricians,72202,5.664204633,3.527540775,0.725555556,Low exposure,High complementarity,LE-HC
Electrical power line and cable workers,72203,5.478333345,3.3433051,0.738055556,Low exposure,High complementarity,LE-HC
Telecommunications line and cable installers and repairers,72204,5.664223833,4.056282038,0.6325,Low exposure,High complementarity,LE-HC
Telecommunications equipment installation and cable television service technicians,72205,5.697080353,4.080310966,0.632222222,Low exposure,High complementarity,LE-HC
Plumbers,72300,5.523745075,3.653343617,0.686944444,Low exposure,High complementarity,LE-HC
"Steamfitters, pipefitters and sprinkler system installers",72301,5.523745075,3.653343617,0.686944444,Low exposure,High complementarity,LE-HC
Gas fitters,72302,5.523745075,3.653343617,0.686944444,Low exposure,High complementarity,LE-HC
Carpenters,72310,5.445526961,4.013644526,0.611111111,Low exposure,Low complementarity,LE-LC
Cabinetmakers,72311,5.436207323,4.590575073,0.503888889,Low exposure,Low complementarity,LE-LC
Bricklayers,72320,5.307148417,3.860018182,0.621759259,Low exposure,High complementarity,LE-HC
Insulators,72321,5.304910005,4.092148634,0.576944444,Low exposure,Low complementarity,LE-LC
Construction millwrights and industrial mechanics,72400,5.503397191,3.97350449,0.626805556,Low exposure,High complementarity,LE-HC
Heavy-duty equipment mechanics,72401,5.498892024,3.797934181,0.657638889,Low exposure,High complementarity,LE-HC
"Heating, refrigeration and air conditioning mechanics",72402,5.628293082,3.727180752,0.686111111,Low exposure,High complementarity,LE-HC
Railway carmen/women,72403,5.381840256,3.9586425,0.612777778,Low exposure,Low complementarity,LE-LC
Aircraft mechanics and aircraft inspectors,72404,5.73928152,4.153007878,0.624722222,Low exposure,High complementarity,LE-HC
Machine fitters,72405,5.644522322,4.501506551,0.550833333,Low exposure,Low complementarity,LE-LC
Elevator constructors and mechanics,72406,5.61751664,3.631100339,0.701944444,Low exposure,High complementarity,LE-HC
"Automotive service technicians, truck and bus mechanics and mechanical repairers",72410,5.647499861,4.12237118,0.618492063,Low exposure,High complementarity,LE-HC
"Auto body collision, refinishing and glass technicians and damage repair estimators",72411,5.499668328,4.347096827,0.557916667,Low exposure,Low complementarity,LE-LC
Oil and solid fuel heating mechanics,72420,5.628293082,3.727180752,0.686111111,Low exposure,High complementarity,LE-HC
Appliance servicers and repairers,72421,5.597175953,4.2336417,0.591944444,Low exposure,Low complementarity,LE-LC
Electrical mechanics,72422,5.731598652,4.054808363,0.640833333,Low exposure,High complementarity,LE-HC
"Motorcycle, all-terrain vehicle and other related mechanics",72423,5.631643419,3.857394372,0.663425926,Low exposure,High complementarity,LE-HC
Other small engine and small equipment repairers,72429,5.631541161,4.575627194,0.535833333,Low exposure,Low complementarity,LE-LC
Crane operators,72500,5.528270988,3.64160697,0.689722222,Low exposure,High complementarity,LE-HC
Water well drillers,72501,5.718221929,4.183832378,0.616666667,Low exposure,High complementarity,LE-HC
"Air pilots, flight engineers and flying instructors",72600,5.817246966,3.740830051,0.704953704,Low exposure,High complementarity,LE-HC
Air traffic controllers and related occupations,72601,6.554208812,5.055843853,0.576944444,High exposure,Low complementarity,HE-LC
"Deck officers, water transport",72602,5.71745572,3.357417053,0.761111111,Low exposure,High complementarity,LE-HC
"Engineer officers, water transport",72603,5.797259308,3.790763448,0.694444444,Low exposure,High complementarity,LE-HC
Railway traffic controllers and marine traffic regulators,72604,5.824404757,4.081937001,0.6475,Low exposure,High complementarity,LE-HC
Other technical trades and related occupations,72999,5.644338445,4.057652193,0.629444444,Low exposure,High complementarity,LE-HC
Concrete finishers,73100,5.233404614,3.858182179,0.611111111,Low exposure,Low complementarity,LE-LC
Tilesetters,73101,5.450049662,4.311594844,0.557222222,Low exposure,Low complementarity,LE-LC
"Plasterers, drywall installers and finishers and lathers",73102,5.24323936,4.24119806,0.539444444,Low exposure,Low complementarity,LE-LC
Roofers and shinglers,73110,5.244433036,3.618658795,0.658333333,Low exposure,High complementarity,LE-HC
Glaziers,73111,5.440539123,3.699566603,0.668333333,Low exposure,High complementarity,LE-HC
Painters and decorators (except interior decorators),73112,5.59709523,5.17420359,0.423888889,Low exposure,Low complementarity,LE-LC
Floor covering installers,73113,5.388738113,4.128588944,0.582361111,Low exposure,Low complementarity,LE-LC
Residential and commercial installers and servicers,73200,5.394339283,3.976761051,0.610439815,Low exposure,Low complementarity,LE-LC
General building maintenance workers and building superintendents,73201,5.587066367,3.639352953,0.696944444,Low exposure,High complementarity,LE-HC
Pest controllers and fumigators,73202,5.707539963,4.3107781,0.593055556,Low exposure,Low complementarity,LE-LC
Other repairers and servicers,73209,5.708449475,4.309946974,0.594351852,Low exposure,Low complementarity,LE-LC
Transport truck drivers,73300,5.6039813,4.146725542,0.608472222,Low exposure,Low complementarity,LE-LC
"Bus drivers, subway operators and other transit operators",73301,5.75381356,4.516841837,0.563333333,Low exposure,Low complementarity,LE-LC
Railway and yard locomotive engineers,73310,5.714767441,3.855323777,0.673611111,Low exposure,High complementarity,LE-HC
Railway conductors and brakemen/women,73311,5.824404757,4.081937001,0.6475,Low exposure,High complementarity,LE-HC
Heavy equipment operators,73400,5.527178568,3.89664064,0.643214286,Low exposure,High complementarity,LE-HC
Printing press operators,73401,5.685279941,4.622448441,0.535277778,Low exposure,Low complementarity,LE-LC
"Drillers and blasters - surface mining, quarrying and construction",73402,5.718221929,4.183832378,0.616666667,Low exposure,High complementarity,LE-HC
Mail and parcel sorters and related occupations,74100,5.50043463,5.052760367,0.429722222,Low exposure,Low complementarity,LE-LC
Letter carriers,74101,5.554654234,4.635050366,0.513888889,Low exposure,Low complementarity,LE-LC
Couriers and messengers,74102,5.567333508,4.386514479,0.560277778,Low exposure,Low complementarity,LE-LC
Railway yard and track maintenance workers,74200,5.403946361,3.49455198,0.701666667,Low exposure,High complementarity,LE-HC
Water transport deck and engine room crew,74201,5.516211403,3.71118445,0.675555556,Low exposure,High complementarity,LE-HC
Air transport ramp attendants,74202,6.182615126,4.269384795,0.659537037,High exposure,High complementarity,HE-HC
Automotive and heavy truck and equipment parts installers and servicers,74203,5.524981021,4.062520692,0.61287037,Low exposure,Low complementarity,LE-LC
Utility maintenance workers,74204,5.475799455,3.969578173,0.622314815,Low exposure,High complementarity,LE-HC
Public works maintenance equipment operators and related workers,74205,5.420165999,4.134690783,0.585,Low exposure,Low complementarity,LE-LC
Longshore workers,75100,5.336598224,3.810529731,0.633472222,Low exposure,High complementarity,LE-HC
Material handlers,75101,5.792257996,4.375229604,0.590396825,Low exposure,Low complementarity,LE-LC
Construction trades helpers and labourers,75110,5.415087031,3.92883992,0.621925926,Low exposure,High complementarity,LE-HC
Other trades helpers and labourers,75119,5.373384894,3.910630117,0.620555556,Low exposure,High complementarity,LE-HC
Delivery service drivers and door-to-door distributors,75201,5.567333508,4.386514479,0.560277778,Low exposure,Low complementarity,LE-LC
Boat and cable ferry operators and related occupations,75210,5.717967987,3.635742712,0.712731481,Low exposure,High complementarity,LE-HC
Railway and motor transport labourers,75211,5.593691925,3.923353364,0.646944444,Low exposure,High complementarity,LE-HC
Public works and maintenance labourers,75212,5.382308612,4.492732605,0.513611111,Low exposure,Low complementarity,LE-LC
